Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage
38;  320;  41.450777;  0.525907;  249;  32.253886;  57;  7.383420;  13;  1.683938;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
39;  313;  40.544041;  0.514249;  238;  30.829016;  66;  8.549223;  9;  1.165803;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
40;  329;  42.616580;  0.540155;  254;  32.901554;  63;  8.160622;  11;  1.424870;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
41;  324;  41.968912;  0.528497;  248;  32.124352;  69;  8.937824;  6;  0.777202;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
42;  321;  41.580311;  0.528497;  247;  31.994819;  62;  8.031088;  11;  1.424870;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
43;  312;  40.414508;  0.512953;  242;  31.347150;  58;  7.512953;  10;  1.295337;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
44;  310;  40.155440;  0.516839;  233;  30.181347;  66;  8.549223;  10;  1.295337;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
45;  330;  42.746114;  0.545337;  254;  32.901554;  63;  8.160622;  11;  1.424870;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
46;  312;  40.414508;  0.519430;  237;  30.699482;  62;  8.031088;  12;  1.554404;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
47;  319;  41.321244;  0.555699;  229;  29.663212;  71;  9.196891;  18;  2.331606;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
48;  313;  40.544041;  0.532383;  241;  31.217617;  48;  6.217617;  22;  2.849741;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
49;  313;  40.544041;  0.520725;  242;  31.347150;  53;  6.865285;  18;  2.331606;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
50;  304;  39.378238;  0.514249;  227;  29.404145;  63;  8.160622;  12;  1.554404;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
51;  315;  40.803109;  0.505181;  249;  32.253886;  59;  7.642487;  5;  0.647668;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
52;  319;  41.321244;  0.520725;  247;  31.994819;  61;  7.901554;  11;  1.424870;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
53;  324;  41.968912;  0.545337;  247;  31.994819;  61;  7.901554;  12;  1.554404;  4;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
54;  327;  42.357513;  0.550518;  247;  31.994819;  63;  8.160622;  16;  2.072539;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
55;  310;  40.155440;  0.534974;  227;  29.404145;  63;  8.160622;  20;  2.590674;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
56;  318;  41.191710;  0.544041;  236;  30.569948;  67;  8.678756;  11;  1.424870;  3;  0.388601;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
57;  329;  42.616580;  0.555699;  241;  31.217617;  78;  10.103627;  8;  1.036269;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
58;  326;  42.227979;  0.537565;  249;  32.253886;  66;  8.549223;  10;  1.295337;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
59;  320;  41.450777;  0.534974;  241;  31.217617;  66;  8.549223;  12;  1.554404;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
60;  322;  41.709845;  0.538860;  249;  32.253886;  56;  7.253886;  13;  1.683938;  4;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
61;  333;  43.134715;  0.554404;  257;  33.290155;  58;  7.512953;  17;  2.202073;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
62;  332;  43.005181;  0.546632;  259;  33.549223;  57;  7.383420;  15;  1.943005;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
