Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage;  11 OM Count;  11 OM Percentage;  12 OM Count;  12 OM Percentage;  13 OM Count;  13 OM Percentage;  14 OM Count;  14 OM Percentage;  15 OM Count;  15 OM Percentage;  16 OM Count;  16 OM Percentage;  17 OM Count;  17 OM Percentage;  18 OM Count;  18 OM Percentage;  19 OM Count;  19 OM Percentage;  20 OM Count;  20 OM Percentage
29;  674;  87.305699;  4.130829;  87;  11.269430;  92;  11.917098;  83;  10.751295;  77;  9.974093;  94;  12.176166;  71;  9.196891;  61;  7.901554;  37;  4.792746;  30;  3.886010;  15;  1.943005;  11;  1.424870;  10;  1.295337;  4;  0.518135;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
30;  674;  87.305699;  4.139896;  78;  10.103627;  109;  14.119171;  77;  9.974093;  77;  9.974093;  94;  12.176166;  67;  8.678756;  57;  7.383420;  40;  5.181347;  28;  3.626943;  22;  2.849741;  12;  1.554404;  6;  0.777202;  5;  0.647668;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
31;  675;  87.435233;  4.133420;  90;  11.658031;  91;  11.787565;  88;  11.398964;  77;  9.974093;  84;  10.880829;  71;  9.196891;  64;  8.290155;  34;  4.404145;  29;  3.756477;  18;  2.331606;  15;  1.943005;  8;  1.036269;  5;  0.647668;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
32;  676;  87.564767;  4.102332;  90;  11.658031;  94;  12.176166;  86;  11.139896;  74;  9.585492;  92;  11.917098;  78;  10.103627;  49;  6.347150;  41;  5.310881;  26;  3.367876;  26;  3.367876;  8;  1.036269;  5;  0.647668;  4;  0.518135;  3;  0.388601;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
33;  679;  87.953368;  4.097150;  93;  12.046632;  81;  10.492228;  105;  13.601036;  79;  10.233161;  88;  11.398964;  68;  8.808290;  61;  7.901554;  28;  3.626943;  31;  4.015544;  17;  2.202073;  19;  2.461140;  2;  0.259067;  4;  0.518135;  1;  0.129534;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
34;  678;  87.823834;  4.085492;  86;  11.139896;  98;  12.694301;  100;  12.953368;  76;  9.844560;  84;  10.880829;  70;  9.067358;  56;  7.253886;  34;  4.404145;  26;  3.367876;  21;  2.720207;  12;  1.554404;  10;  1.295337;  3;  0.388601;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
35;  679;  87.953368;  4.133420;  95;  12.305699;  98;  12.694301;  79;  10.233161;  73;  9.455959;  85;  11.010363;  71;  9.196891;  71;  9.196891;  36;  4.663212;  27;  3.497409;  17;  2.202073;  10;  1.295337;  12;  1.554404;  3;  0.388601;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
36;  677;  87.694301;  4.111399;  89;  11.528497;  88;  11.398964;  96;  12.435233;  84;  10.880829;  81;  10.492228;  69;  8.937824;  62;  8.031088;  34;  4.404145;  31;  4.015544;  16;  2.072539;  12;  1.554404;  10;  1.295337;  3;  0.388601;  0;  0.000000;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
37;  679;  87.953368;  4.126943;  88;  11.398964;  102;  13.212435;  81;  10.492228;  82;  10.621762;  83;  10.751295;  76;  9.844560;  53;  6.865285;  35;  4.533679;  36;  4.663212;  15;  1.943005;  18;  2.331606;  6;  0.777202;  1;  0.129534;  1;  0.129534;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
38;  681;  88.212435;  4.164508;  89;  11.528497;  93;  12.046632;  90;  11.658031;  86;  11.139896;  78;  10.103627;  75;  9.715026;  52;  6.735751;  43;  5.569948;  30;  3.886010;  16;  2.072539;  14;  1.813472;  7;  0.906736;  4;  0.518135;  2;  0.259067;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
