Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage;  11 OM Count;  11 OM Percentage;  12 OM Count;  12 OM Percentage;  13 OM Count;  13 OM Percentage;  14 OM Count;  14 OM Percentage;  15 OM Count;  15 OM Percentage;  16 OM Count;  16 OM Percentage;  17 OM Count;  17 OM Percentage;  18 OM Count;  18 OM Percentage;  19 OM Count;  19 OM Percentage;  20 OM Count;  20 OM Percentage
33;  1521;  98.894668;  7.042913;  33;  2.145644;  55;  3.576073;  89;  5.786736;  129;  8.387516;  155;  10.078023;  200;  13.003901;  212;  13.784135;  161;  10.468140;  138;  8.972692;  137;  8.907672;  88;  5.721717;  66;  4.291287;  35;  2.275683;  16;  1.040312;  4;  0.260078;  3;  0.195059;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
34;  1521;  98.894668;  7.009103;  36;  2.340702;  52;  3.381014;  91;  5.916775;  131;  8.517555;  168;  10.923277;  197;  12.808843;  191;  12.418726;  159;  10.338101;  160;  10.403121;  124;  8.062419;  92;  5.981795;  68;  4.421326;  29;  1.885566;  19;  1.235371;  3;  0.195059;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
35;  1520;  98.829649;  7.091027;  34;  2.210663;  52;  3.381014;  92;  5.981795;  122;  7.932380;  165;  10.728218;  184;  11.963589;  191;  12.418726;  174;  11.313394;  151;  9.817945;  135;  8.777633;  100;  6.501951;  56;  3.641092;  41;  2.665800;  15;  0.975293;  7;  0.455137;  0;  0.000000;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000
36;  1518;  98.699610;  7.136541;  30;  1.950585;  52;  3.381014;  96;  6.241873;  115;  7.477243;  160;  10.403121;  175;  11.378414;  215;  13.979194;  159;  10.338101;  151;  9.817945;  143;  9.297789;  99;  6.436931;  55;  3.576073;  34;  2.210663;  23;  1.495449;  11;  0.715215;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
37;  1518;  98.699610;  7.057217;  29;  1.885566;  50;  3.250975;  104;  6.762029;  128;  8.322497;  150;  9.752926;  187;  12.158648;  190;  12.353706;  171;  11.118336;  155;  10.078023;  143;  9.297789;  96;  6.241873;  65;  4.226268;  33;  2.145644;  14;  0.910273;  3;  0.195059;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
38;  1519;  98.764629;  7.059818;  36;  2.340702;  58;  3.771131;  83;  5.396619;  142;  9.232770;  157;  10.208062;  178;  11.573472;  188;  12.223667;  162;  10.533160;  169;  10.988296;  129;  8.387516;  94;  6.111834;  55;  3.576073;  39;  2.535761;  25;  1.625488;  2;  0.130039;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
39;  1518;  98.699610;  7.076723;  29;  1.885566;  54;  3.511053;  99;  6.436931;  131;  8.517555;  162;  10.533160;  175;  11.378414;  185;  12.028609;  176;  11.443433;  156;  10.143043;  125;  8.127438;  100;  6.501951;  62;  4.031209;  39;  2.535761;  19;  1.235371;  4;  0.260078;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
40;  1519;  98.764629;  7.046814;  34;  2.210663;  54;  3.511053;  94;  6.111834;  137;  8.907672;  143;  9.297789;  190;  12.353706;  209;  13.589077;  164;  10.663199;  139;  9.037711;  132;  8.582575;  98;  6.371912;  67;  4.356307;  37;  2.405722;  14;  0.910273;  6;  0.390117;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
41;  1519;  98.764629;  7.087126;  31;  2.015605;  59;  3.836151;  90;  5.851756;  130;  8.452536;  160;  10.403121;  183;  11.898570;  176;  11.443433;  171;  11.118336;  156;  10.143043;  152;  9.882965;  93;  6.046814;  51;  3.315995;  43;  2.795839;  16;  1.040312;  7;  0.455137;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
42;  1516;  98.569571;  7.067620;  31;  2.015605;  57;  3.706112;  93;  6.046814;  132;  8.582575;  149;  9.687906;  187;  12.158648;  190;  12.353706;  169;  10.988296;  153;  9.947984;  132;  8.582575;  95;  6.176853;  68;  4.421326;  37;  2.405722;  15;  0.975293;  8;  0.520156;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
43;  1517;  98.634590;  7.054616;  31;  2.015605;  59;  3.836151;  94;  6.111834;  124;  8.062419;  162;  10.533160;  181;  11.768531;  191;  12.418726;  182;  11.833550;  135;  8.777633;  127;  8.257477;  110;  7.152146;  67;  4.356307;  30;  1.950585;  16;  1.040312;  7;  0.455137;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
44;  1523;  99.024707;  7.102731;  41;  2.665800;  58;  3.771131;  81;  5.266580;  119;  7.737321;  161;  10.468140;  198;  12.873862;  193;  12.548765;  162;  10.533160;  146;  9.492848;  131;  8.517555;  111;  7.217165;  59;  3.836151;  35;  2.275683;  20;  1.300390;  8;  0.520156;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
45;  1521;  98.894668;  7.145644;  30;  1.950585;  62;  4.031209;  79;  5.136541;  126;  8.192458;  148;  9.622887;  200;  13.003901;  207;  13.459038;  156;  10.143043;  151;  9.817945;  123;  7.997399;  111;  7.217165;  56;  3.641092;  42;  2.730819;  21;  1.365410;  8;  0.520156;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
46;  1524;  99.089727;  7.131339;  36;  2.340702;  58;  3.771131;  84;  5.461638;  126;  8.192458;  158;  10.273082;  196;  12.743823;  176;  11.443433;  184;  11.963589;  140;  9.102731;  136;  8.842653;  91;  5.916775;  72;  4.681404;  44;  2.860858;  13;  0.845254;  9;  0.585176;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
47;  1521;  98.894668;  7.106632;  38;  2.470741;  51;  3.315995;  91;  5.916775;  123;  7.997399;  153;  9.947984;  192;  12.483745;  201;  13.068921;  168;  10.923277;  141;  9.167750;  124;  8.062419;  107;  6.957087;  79;  5.136541;  29;  1.885566;  17;  1.105332;  4;  0.260078;  3;  0.195059;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
48;  1521;  98.894668;  7.101430;  34;  2.210663;  54;  3.511053;  93;  6.046814;  132;  8.582575;  140;  9.102731;  203;  13.198960;  185;  12.028609;  172;  11.183355;  145;  9.427828;  134;  8.712614;  105;  6.827048;  65;  4.226268;  33;  2.145644;  17;  1.105332;  7;  0.455137;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
49;  1522;  98.959688;  7.136541;  37;  2.405722;  46;  2.990897;  86;  5.591678;  122;  7.932380;  166;  10.793238;  191;  12.418726;  193;  12.548765;  173;  11.248375;  154;  10.013004;  121;  7.867360;  107;  6.957087;  62;  4.031209;  33;  2.145644;  21;  1.365410;  10;  0.650195;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
50;  1524;  99.089727;  7.120936;  33;  2.145644;  58;  3.771131;  82;  5.331599;  122;  7.932380;  166;  10.793238;  195;  12.678804;  196;  12.743823;  158;  10.273082;  152;  9.882965;  128;  8.322497;  111;  7.217165;  66;  4.291287;  38;  2.470741;  11;  0.715215;  5;  0.325098;  2;  0.130039;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000
51;  1523;  99.024707;  7.084525;  31;  2.015605;  53;  3.446034;  90;  5.851756;  122;  7.932380;  161;  10.468140;  203;  13.198960;  201;  13.068921;  171;  11.118336;  133;  8.647594;  139;  9.037711;  106;  6.892068;  51;  3.315995;  41;  2.665800;  11;  0.715215;  9;  0.585176;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
52;  1523;  99.024707;  7.115735;  35;  2.275683;  58;  3.771131;  83;  5.396619;  116;  7.542263;  170;  11.053316;  199;  12.938882;  183;  11.898570;  162;  10.533160;  155;  10.078023;  133;  8.647594;  105;  6.827048;  66;  4.291287;  35;  2.275683;  14;  0.910273;  8;  0.520156;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
53;  1522;  98.959688;  7.111834;  35;  2.275683;  56;  3.641092;  79;  5.136541;  131;  8.517555;  157;  10.208062;  187;  12.158648;  200;  13.003901;  175;  11.378414;  152;  9.882965;  129;  8.387516;  98;  6.371912;  61;  3.966190;  31;  2.015605;  19;  1.235371;  8;  0.520156;  2;  0.130039;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000
54;  1517;  98.634590;  7.117035;  34;  2.210663;  51;  3.315995;  80;  5.201560;  129;  8.387516;  162;  10.533160;  194;  12.613784;  176;  11.443433;  179;  11.638492;  145;  9.427828;  154;  10.013004;  84;  5.461638;  69;  4.486346;  36;  2.340702;  15;  0.975293;  5;  0.325098;  2;  0.130039;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000
55;  1524;  99.089727;  7.135241;  37;  2.405722;  62;  4.031209;  76;  4.941482;  131;  8.517555;  153;  9.947984;  191;  12.418726;  185;  12.028609;  178;  11.573472;  149;  9.687906;  132;  8.582575;  100;  6.501951;  62;  4.031209;  40;  2.600780;  17;  1.105332;  8;  0.520156;  3;  0.195059;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
56;  1520;  98.829649;  7.118336;  31;  2.015605;  61;  3.966190;  87;  5.656697;  121;  7.867360;  169;  10.988296;  192;  12.483745;  172;  11.183355;  173;  11.248375;  141;  9.167750;  133;  8.647594;  108;  7.022107;  72;  4.681404;  39;  2.535761;  12;  0.780234;  5;  0.325098;  4;  0.260078;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
57;  1525;  99.154746;  7.113134;  37;  2.405722;  54;  3.511053;  89;  5.786736;  127;  8.257477;  141;  9.167750;  221;  14.369311;  175;  11.378414;  162;  10.533160;  162;  10.533160;  146;  9.492848;  87;  5.656697;  56;  3.641092;  45;  2.925878;  15;  0.975293;  4;  0.260078;  2;  0.130039;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000
58;  1526;  99.219766;  7.128739;  33;  2.145644;  58;  3.771131;  83;  5.396619;  127;  8.257477;  168;  10.923277;  194;  12.613784;  175;  11.378414;  183;  11.898570;  149;  9.687906;  119;  7.737321;  106;  6.892068;  72;  4.681404;  35;  2.275683;  16;  1.040312;  5;  0.325098;  2;  0.130039;  0;  0.000000;  1;  0.065020;  0;  0.000000;  0;  0.000000
59;  1522;  98.959688;  7.120936;  32;  2.080624;  59;  3.836151;  90;  5.851756;  121;  7.867360;  160;  10.403121;  195;  12.678804;  166;  10.793238;  174;  11.313394;  156;  10.143043;  147;  9.557867;  99;  6.436931;  66;  4.291287;  35;  2.275683;  18;  1.170351;  3;  0.195059;  0;  0.000000;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000
